student_id,student_name,sex,group_id,subject,date,weekday,status
S001,Alejandro Guzmán,M,G1,Backend 2,2025-07-02,Miércoles,P
S002,Ana Nieto,F,G1,Backend 2,2025-07-02,Miércoles,P
S003,Mario Barrios,M,G1,Backend 2,2025-07-02,Miércoles,P
S004,Mario Valencia,M,G1,Backend 2,2025-07-02,Miércoles,P
S005,David Romero,M,G1,Backend 2,2025-07-02,Miércoles,P
S006,Tatiana Muñoz,F,G1,Backend 2,2025-07-02,Miércoles,P
S007,Miguel Herrera,M,G1,Backend 2,2025-07-02,Miércoles,A
S008,David Salazar,M,G1,Backend 2,2025-07-02,Miércoles,P
S009,Nicolás Méndez,M,G1,Backend 2,2025-07-02,Miércoles,P
S010,Camila García,F,G1,Backend 2,2025-07-02,Miércoles,A
S011,Alejandro Castro,M,G1,Backend 2,2025-07-02,Miércoles,P
S012,Ricardo Álvarez,M,G1,Backend 2,2025-07-02,Miércoles,P
S013,Andrés Rivero,M,G1,Backend 2,2025-07-02,Miércoles,P
S014,Raúl Herrera,M,G1,Backend 2,2025-07-02,Miércoles,P
S015,Juliana Vargas,F,G1,Backend 2,2025-07-02,Miércoles,P
S016,Carlos Méndez,M,G1,Backend 2,2025-07-02,Miércoles,P
S017,Alejandra Delgado,F,G1,Backend 2,2025-07-02,Miércoles,P
S018,Catalina Cabrera,F,G1,Backend 2,2025-07-02,Miércoles,P
S019,Sofía Nieto,F,G1,Backend 2,2025-07-02,Miércoles,P
S020,Nicolás Rivero,M,G1,Backend 2,2025-07-02,Miércoles,P
S021,Tatiana Bravo,F,G1,Backend 2,2025-07-02,Miércoles,P
S022,Héctor Reyes,M,G1,Backend 2,2025-07-02,Miércoles,P
S023,Alejandra Camacho,F,G1,Backend 2,2025-07-02,Miércoles,P
S024,Laura Jiménez,F,G1,Backend 2,2025-07-02,Miércoles,P
S025,Valentina Castillo,F,G1,Backend 2,2025-07-02,Miércoles,P
S026,Carolina Jiménez,F,G1,Backend 2,2025-07-02,Miércoles,P
S027,Luisa Vega,F,G1,Backend 2,2025-07-02,Miércoles,P
S028,Verónica Peña,F,G1,Backend 2,2025-07-02,Miércoles,P
S029,Ana Vega,F,G1,Backend 2,2025-07-02,Miércoles,P
S030,María Álvarez,F,G1,Backend 2,2025-07-02,Miércoles,P
S031,Álvaro Camacho,M,G1,Backend 2,2025-07-02,Miércoles,P
S032,Ricardo Arias,M,G1,Backend 2,2025-07-02,Miércoles,P
S033,Sofía Herrera,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,A
S034,Paula Cardona,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S035,Luisa Ramírez,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S036,Sebastián Cárdenas,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,A
S037,Luisa Pérez,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S038,Ricardo Peña,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S039,Fernando Herrera,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S040,Luis Morales,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S041,Alejandro Arias,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S042,Felipe Cabrera,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S043,Ana Valencia,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S044,María Duarte,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,A
S045,Mónica Vargas,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S046,Luisa Herrera,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S047,Andrea Sánchez,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S048,Jorge Guzmán,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S049,Ana Sánchez,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,A
S050,Ana Navarro,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S051,Alejandro Pineda,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S052,Andrea Morales,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S053,Santiago Romero,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S054,Verónica Ortiz,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,A
S055,Santiago Bravo,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S056,Paula Vega,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S057,Daniela Peña,F,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S058,Andrés Rodríguez,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S059,Héctor Rivero,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S060,Álvaro Martínez,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S061,Álvaro Duarte,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S062,Luis Castañeda,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S063,Andrés Montoya,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S064,Nicolás Guzmán,M,G2,Nuevas Tecnologías,2025-07-02,Miércoles,P
S065,Diego Arias,M,G3,Frontend 2,2025-07-02,Miércoles,P
S066,Luisa Rodríguez,F,G3,Frontend 2,2025-07-02,Miércoles,P
S067,Andrea Bravo,F,G3,Frontend 2,2025-07-02,Miércoles,P
S068,Jorge Vega,M,G3,Frontend 2,2025-07-02,Miércoles,P
S069,Daniela Castro,F,G3,Frontend 2,2025-07-02,Miércoles,P
